
n ; porownania(c); przestawienia(s); c/n; s/n;
4800;4775.1;4801.06;0.9948125000000001;1.0002208333333333;
4900;5134.38;5159.48;1.0478326530612245;1.0529551020408163;
5000;5434.43;5457.93;1.086886;1.0915860000000002;
5100;4725.22;4751.1;0.9265137254901962;0.9315882352941177;
5200;6471.44;6497.46;1.2445076923076923;1.2495115384615385;
5300;5121.16;5145.66;0.9662566037735849;0.9708792452830188;
5400;6236.68;6262.28;1.1549407407407408;1.1596814814814815;
5500;5869.97;5896.43;1.0672672727272727;1.072078181818182;
5600;6220.72;6245.98;1.1108428571428572;1.1153535714285714;
5700;6461.8;6486.32;1.1336491228070176;1.1379508771929825;
5800;6083.27;6107.55;1.048839655172414;1.0530258620689656;
5900;6395.96;6422.2;1.0840610169491525;1.0885084745762712;
6000;6958.03;6983.01;1.1596716666666667;1.163835;
6100;6872.74;6898.46;1.12667868852459;1.1308950819672132;
6200;6917.62;6944.8;1.1157451612903226;1.1201290322580646;
6300;6121.64;6146.3;0.9716888888888889;0.9756031746031746;
6400;6809.76;6836.9;1.064025;1.068265625;
6500;6481.7;6509.86;0.9971846153846153;1.001516923076923;
6600;7517.15;7544.73;1.1389621212121213;1.143140909090909;
6700;6993.33;7019.79;1.0437805970149254;1.0477298507462687;
6800;7980.2;8007.26;1.1735588235294117;1.1775382352941177;
6900;6901.22;6927.92;1.000176811594203;1.0040463768115941;
7000;6907.27;6931.43;0.9867528571428572;0.9902042857142858;
7100;7767.31;7795.05;1.093987323943662;1.0978943661971832;
7200;7575.73;7602.53;1.0521847222222223;1.0559069444444444;
7300;8288.03;8313.97;1.1353465753424659;1.1388999999999998;
7400;7529.55;7555.87;1.0175067567567568;1.0210635135135135;
7500;8365.42;8392.14;1.1153893333333333;1.118952;
7600;7259.68;7288.3;0.955221052631579;0.9589868421052632;
7700;8466.33;8493.15;1.0995233766233765;1.1030064935064934;
7800;7447.08;7473.82;0.9547538461538462;0.9581820512820513;
7900;8467.69;8495.45;1.071859493670886;1.075373417721519;
8000;8683.51;8709.83;1.08543875;1.08872875;
8100;8645.93;8671.83;1.0673987654320989;1.0705962962962963;
8200;8712.69;8741.79;1.0625231707317073;1.0660719512195123;
